id,student_id,class,exam_type,year,english,math,social_studies,general_science,mt,islamiyat,nmt,other_subjects,total_obtained,total_max,percentage,grade,remarks,created_at
1,81,Five,Annual,2025,12,34,52,13,34,30,12,{},187,700,26.71,F,Fail,"2025-12-09 20:13:03"
2,57,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
3,13,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
4,13,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-11 23:13:21"
7,15,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
8,16,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
9,17,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
10,18,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
11,19,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
12,20,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
13,21,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
14,22,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
15,23,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
16,24,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
17,25,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
18,26,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
19,27,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
20,28,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
21,29,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
22,30,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
23,31,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
24,32,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
25,33,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
26,34,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
27,35,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
28,36,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
29,37,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
30,38,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
31,39,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
32,40,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
33,14,Four,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:15:07"
34,41,Three,Annual,2025,55,66,77,88,99,90,99,[],574,700,82,A+,Excellent,"2025-12-12 22:35:55"
35,42,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
36,43,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
37,44,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
38,45,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
39,46,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
40,47,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
41,48,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
42,49,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
43,50,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
44,51,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
45,52,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
46,53,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
47,54,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
48,55,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
49,56,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
50,58,Three,Annual,2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-12 22:35:55"
51,10,Five,Annual,2025,55,66,77,88,99,100,53,[],538,700,76.86,A,"Very Good","2025-12-12 22:58:03"
52,11,Five,Annual,2025,55,77,88,99,0,77,88,[],484,700,69.14,B,Good,"2025-12-12 22:58:03"
53,12,Five,Annual,2025,55,66,77,88,99,66,22,[],473,700,67.57,B,Good,"2025-12-12 22:58:03"
54,13,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-14 15:33:50"
55,14,Four,"Mid Term",2025,100,77,88,65,44,55,88,[],517,700,73.86,A,"Very Good","2025-12-24 22:55:49"
56,15,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
57,16,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
58,17,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
59,18,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
60,19,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
61,20,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
62,21,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
63,22,Four,"Mid Term",2025,0,0,0,0,0,0,0,[],0,700,0,F,Fail,"2025-12-24 22:55:49"
